Make,Colour,Odometer,Doors,Price
Toyota,White,150043,4,4000
Honda,Red,87899,4,5000
Toyota,Blue,73949,3,7000
BMW,Black,11179,5,22000
Nissan,White,213095,4,3500
Toyota,Green,73949,4,4500
Honda,Pink,73949,4,7500
Honda,Blue,73949,4,2000
Toyota,White,60000,4,2000
Ferrari,White,31600,4,9700
Ferrari,Blue,91121,2,22277
Nissan,Pink,35559,2,4005
Ford,Red,43742,4,20400
Ferrari,Black,162826,4,29747
BMW,White,145044,4,12860
Ford,Yellow,122217,4,12070
Ford,White,51873,5,11388
Ferrari,Pink,144092,5,20156
Honda,Black,96988,5,26737
BMW,Yellow,55648,4,22360
Ferrari,Pink,135991,4,20135
BMW,Red,12396,4,27351
BMW,Blue,94082,5,25814
Ford,White,138322,4,16609
Nissan,Green,142663,2,25554
BMW,Green,21303,2,24853
Chevrolet,Black,171633,4,18363
Ford,Red,259690,2,27515
Honda,White,269820,2,21604
Nissan,Red,109616,5,18923
Chevrolet,White,96231,4,16823
Chevrolet,Black,279458,4,19845
Honda,Black,29623,5,23568
Nissan,Green,208747,2,10547
Ford,Red,115228,2,13515
Toyota,Yellow,192828,4,2234
Nissan,Green,167364,2,16562
Honda,Red,79274,5,19932
Chevrolet,Green,143541,5,9480
Ford,Yellow,63947,4,28672
Nissan,Blue,163606,5,6213
Toyota,Blue,204692,5,12293
Toyota,Blue,58874,4,3673
BMW,Blue,59708,5,25092
BMW,Pink,84553,5,26366
Ferrari,White,78344,5,4100
Honda,Pink,195374,2,13849
Nissan,Pink,57638,4,22132
Nissan,Pink,88249,4,21557
Ferrari,Blue,12719,4,20199
Chevrolet,Yellow,163962,2,5841
Chevrolet,Black,52534,2,12197
Ferrari,Black,102241,4,10016
Chevrolet,White,136209,2,9011
BMW,Blue,199004,4,6493
Nissan,Blue,102124,2,19058
Ferrari,Blue,101659,5,26472
Nissan,Green,174134,5,10578
Toyota,Red,85713,4,4158
BMW,Green,228335,2,21045
Ford,Red,85418,2,4064
BMW,Blue,138232,5,5253
Ferrari,Blue,173038,5,23363
Ford,Green,178383,2,26087
Toyota,Green,268722,2,14828
Ferrari,Red,142079,2,27315
Honda,Black,212053,2,3401
Nissan,Red,86242,2,21643
Toyota,Green,188589,2,17193
Nissan,Yellow,39257,4,28853
Chevrolet,Green,154353,2,14096
Honda,Yellow,273579,5,22307
Honda,White,239947,4,6214
Toyota,Green,241758,2,21611
Honda,White,101357,5,13023
